,codigo_municipio,Total
1146,2406502,21.5
1147,2406601,22.7
1148,2406700,11.4
1149,2406809,19.1
1150,2406908,14.6
1151,2407005,24
1152,2407104,21.5
1153,2407203,19.8
1154,2407252,30.1
1155,2407302,19.8
1156,2407401,19.3
1157,2407500,22.3
1158,2407609,21.3
1159,2407708,21
1160,2407807,20.6
1161,2407906,28.1
1162,2408003,16
1163,2408102,18.6
1164,2408201,23.6
1165,2408300,19.7
1166,2408409,26.8
1167,2408508,8.7
1168,2408607,19.6
1169,2408706,32.3
1170,2408805,30.2
1171,2408904,16
1172,2408953,27.3
1173,2409100,13.1
1174,2409209,21
1175,2409308,21.7
1176,2409332,22.1
1177,2409407,11.3
1178,2409506,28.3
1179,2409605,24.6
1180,2409704,27
1181,2409803,22
1182,2409902,14.4
1183,2410009,19.8
1184,2410108,23.6
1185,2410207,23.4
1186,2410256,18.9
1187,2410306,25.3
1188,2410405,23.3
1189,2410504,24.6
1190,2410603,19.4
1191,2410702,8.6
1192,2410801,21.5
1193,2410900,18.4
1194,2411007,17
1195,2411056,19.4
1196,2411106,3.8
1197,2411205,12.7
1198,2411403,24.5
1199,2411429,9
1200,2411502,21.7
1201,2411601,23.4
1202,2411700,17.3
1203,2411809,16.7
1204,2411908,16.3
1205,2412005,21.8
1206,2412104,7.7
1207,2412203,23.6
1208,2412302,17.4
1209,2412401,5.3
1210,2412500,14.1
1211,2412559,26
1212,2412609,14.7
1213,2412708,26.6
1214,2412807,26
1215,2412906,24.2
1216,2413003,18.6
1217,2413102,24.8
1218,2413201,26.6
1219,2413300,19.6
1220,2413359,21.9
1221,2413409,16.3
1222,2413508,11.8
1223,2413557,18.7
1224,2413607,14.4
1225,2413706,11.5
1226,2413805,15.3
1227,2413904,20.6
1228,2414001,18.2
1229,2414100,12.8
1230,2414159,10.5
1231,2414209,24.1
1232,2414308,22
1233,2414407,24.6
1234,2414456,27.5
1235,2414506,16.9
1236,2414605,18.3
1237,2414704,23.9
1238,2414753,19
1239,2414803,16.6
1240,2414902,12
1241,2415008,34.5
1242,2500106,5.3
1243,2500205,9.9
1244,2500304,35.2
1245,2500403,18.8
1246,2500502,14.2
1247,2500536,17.3
1248,2500577,16.9
1249,2500601,20.3
1250,2500700,18.2
1251,2500734,11.7
1252,2500775,19.1
1253,2500809,20.9
1254,2500908,18.5
1255,2501005,16.3
1256,2501104,15.4
1257,2501153,12.6
1258,2501203,9.3
1259,2501302,16.7
1260,2501351,20.2
1261,2501401,22.3
1262,2501500,16
1263,2501534,10.1
1264,2501575,12.8
1265,2501609,19.3
1266,2501708,5
1267,2501807,25.4
1268,2501906,11.7
1269,2502003,19
1270,2502052,12.4
1271,2502102,13.8
1272,2502151,17.2
1273,2502201,14.4
1274,2502300,10.1
1275,2502409,20.7
1276,2502508,23.5
1277,2502607,14.5
1278,2502706,16.6
1279,2502805,9.9
1280,2502904,15.3
1281,2503001,18.3
1282,2503100,10.4
1283,2503209,19.1
1284,2503308,18.3
1285,2503407,16.7
1286,2503506,16.6
1287,2503555,21.6
1288,2503605,24.2
1289,2503704,13.7
1290,2503753,26.7
1291,2503803,22.4
1292,2503902,7.9
1293,2504009,16.4
1294,2504033,15.3
1295,2504074,18
1296,2504108,12.7
1297,2504157,15.6
1298,2504207,18
1299,2504306,14.4
1300,2504355,20
1301,2504405,13.9
1302,2504504,19.1
1303,2504603,18.3
1304,2504702,17.3
1305,2504801,21.8
1306,2504850,6.4
1307,2504900,25.3
1308,2505006,6.6
1309,2505105,10.2
1310,2505204,18.2
1311,2505238,20.9
1312,2505279,10.2
1313,2505303,16.2
1314,2505352,17
1315,2505402,15.5
1316,2505501,13.2
1317,2505600,17.8
1318,2505709,3.7
1319,2505808,16.7
1320,2505907,17.9
1321,2506004,5.6
1322,2506103,25.3
1323,2506202,7.2
1324,2506251,14
1325,2506301,15.1
1326,2506400,10
1327,2506509,9.5
1328,2506608,15
1329,2506707,18.8
1330,2506806,16.7
1331,2506905,13.9
1332,2507002,15
1333,2507101,18.8
1334,2507200,14.5
1335,2507309,21.5
1336,2507408,32.3
1337,2507507,16.4
1338,2507606,22.6
1339,2507705,18.4
1340,2507804,13.8
1341,2507903,12.9
1342,2508000,11.9
1343,2508109,18.1
1344,2508208,23.9
1345,2508307,12.5
1346,2508406,10.8
1347,2508505,16.6
1348,2508554,18.5
1349,2508604,22.6
1350,2508703,8.9
1351,2508802,12.7
1352,2508901,17.1
1353,2509008,12.3
1354,2509057,31.9
1355,2509107,16
1356,2509156,23.3
1357,2509206,12.4
1358,2509305,15.2
1359,2509339,16.9
1360,2509370,27.8
1361,2509396,20.3
1362,2509404,14.9
1363,2509503,15.4
1364,2509602,13.8
1365,2509701,5.5
1366,2509800,18.9
1367,2509909,10
1368,2510006,14.4
1369,2510105,16
1370,2510204,12.7
1371,2510303,10.7
1372,2510402,11.8
1373,2510501,18.9
1374,2510600,10.5
1375,2510659,16.1
1376,2510709,14.8
1377,2510808,12.7
1378,2510907,10.6
1379,2511004,11.3
1380,2511103,12.2
1381,2511202,15.1
